model_path,text,image,Yes_logit,No_logit
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h12/0000.png,22.234375,23.125
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h12/0001.png,22.640625,22.84375
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h12/0002.png,22.8125,22.453125
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h12/0003.png,22.390625,22.390625
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h12/0004.png,22.1875,22.53125
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h12/0005.png,22.234375,22.421875
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h12/0006.png,22.5,22.46875
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h12/0007.png,22.234375,22.953125
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h12/0008.png,21.90625,23.09375
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h12/0009.png,21.765625,23.234375
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h12/0010.png,21.859375,22.84375
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h12/0011.png,21.484375,23.703125
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h12/0012.png,21.296875,22.8125
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h12/0013.png,21.359375,23.234375
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h12/0014.png,21.6875,22.703125
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h12/0015.png,21.90625,22.921875
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h12/0016.png,22.140625,23.546875
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h12/0017.png,22.484375,23.1875
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h12/0018.png,22.734375,22.703125
