model,task,correct,layer_idx,count,avg_image_ratio,avg_prompt_ratio,avg_gen_ratio
Efficient-Large-Model/NVILA-Lite-2B,Count,False,0,237,nan,nan,nan
Efficient-Large-Model/NVILA-Lite-2B,Count,False,1,237,0.09778823530623681,0.8129614978902954,0.08927383100936181
Efficient-Large-Model/NVILA-Lite-2B,Count,False,2,237,0.5279051704245781,0.4105770577861287,0.0615145526354826
Efficient-Large-Model/NVILA-Lite-2B,Count,False,3,237,0.5126602881065401,0.4459470595991561,0.04137153464530591
Efficient-Large-Model/NVILA-Lite-2B,Count,False,4,237,0.44445028184335444,0.4730662414293249,0.08247163024129747
Efficient-Large-Model/NVILA-Lite-2B,Count,False,5,237,0.4667783326740506,0.47347211234177217,0.05973899615967827
Efficient-Large-Model/NVILA-Lite-2B,Count,False,6,237,0.514915240967827,0.42467489121835444,0.060414889693763185
Efficient-Large-Model/NVILA-Lite-2B,Count,False,7,237,0.5507441653481012,0.4052713772415612,0.04396720274591245
Efficient-Large-Model/NVILA-Lite-2B,Count,False,8,237,0.5096718832410337,0.3032329575421941,0.18708691818301687
Efficient-Large-Model/NVILA-Lite-2B,Count,False,9,237,0.5218758241033755,0.3916422526041667,0.08649158075388977
Efficient-Large-Model/NVILA-Lite-2B,Count,False,10,237,0.23895340931566456,0.6824822405722574,0.07855585154601794
Efficient-Large-Model/NVILA-Lite-2B,Count,False,11,237,0.41053842794040085,0.509629647943038,0.07984171034414557
Efficient-Large-Model/NVILA-Lite-2B,Count,False,12,237,0.3714161804456751,0.5078135301292194,0.1207605031975211
Efficient-Large-Model/NVILA-Lite-2B,Count,False,13,237,0.28816680264372363,0.6218622263976793,0.08996968329707279
Efficient-Large-Model/NVILA-Lite-2B,Count,False,14,237,0.33345488858122363,0.6440022786458334,0.022535428719178532
Efficient-Large-Model/NVILA-Lite-2B,Count,False,15,237,0.47465573081487344,0.42733056434599154,0.09802374859902427
Efficient-Large-Model/NVILA-Lite-2B,Count,False,16,237,0.2161308964596519,0.642140320081751,0.14173856968618143
Efficient-Large-Model/NVILA-Lite-2B,Count,False,17,237,0.36980093782964135,0.5756423885812236,0.05454843255537975
Efficient-Large-Model/NVILA-Lite-2B,Count,False,18,237,0.32802919798259494,0.5640431335706751,0.10791865481606013
Efficient-Large-Model/NVILA-Lite-2B,Count,False,19,237,0.5275044501582279,0.4416617220464135,0.03083009357693829
Efficient-Large-Model/NVILA-Lite-2B,Count,False,20,237,0.43254198806698313,0.503611633043249,0.0638284803945807
Efficient-Large-Model/NVILA-Lite-2B,Count,False,21,237,0.44469648272679324,0.4783940697521097,0.07692245290249208
Efficient-Large-Model/NVILA-Lite-2B,Count,False,22,237,0.4400073345200422,0.5404923193565401,0.019509424137163767
Efficient-Large-Model/NVILA-Lite-2B,Count,False,23,237,0.4081042325949367,0.3788331108254219,0.21307694962256066
Efficient-Large-Model/NVILA-Lite-2B,Count,False,24,237,0.48090552478902954,0.34640773338607594,0.17269678558478377
Efficient-Large-Model/NVILA-Lite-2B,Count,False,25,237,0.6234630472046413,0.3202872618341245,0.056247308787414296
Efficient-Large-Model/NVILA-Lite-2B,Count,False,26,237,0.6440841739187764,0.3250274014372363,0.030904520413040613
Efficient-Large-Model/NVILA-Lite-2B,Count,False,27,237,0.4546217777558017,0.4731795556434599,0.07219094063159283
Efficient-Large-Model/NVILA-Lite-2B,Count,True,0,550,nan,nan,nan
Efficient-Large-Model/NVILA-Lite-2B,Count,True,1,550,0.09837474476207386,0.8139879261363636,0.08762490012428978
Efficient-Large-Model/NVILA-Lite-2B,Count,True,2,550,0.5192977627840909,0.41960404829545456,0.061096024946732955
Efficient-Large-Model/NVILA-Lite-2B,Count,True,3,550,0.5197030362215909,0.4389226740056818,0.041373734907670455
