model_path,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0000_size0.3.png,Is the red cube closer to the camera than the green cube? Answer with yes or no.,No,Yes,24.0625,23.734375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0000_size0.2.png,Is the red cube closer to the camera than the green cube? Answer with yes or no.,No,Yes,24.109375,23.640625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0000_size0.1.png,Is the red cube closer to the camera than the green cube? Answer with yes or no.,No,Yes,24.046875,23.40625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0001_size0.3.png,Is the cyan cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,23.828125,23.5625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0001_size0.2.png,Is the cyan cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,23.65625,23.515625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0001_size0.1.png,Is the cyan cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,23.609375,23.421875,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0002_size0.3.png,Is the blue sphere closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,24.140625,23.484375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0002_size0.2.png,Is the blue sphere closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,24.296875,23.65625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0002_size0.1.png,Is the blue sphere closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,24.203125,23.484375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0003_size0.3.png,Is the cyan cube closer to the camera than the black sphere? Answer with yes or no.,No,Yes,23.671875,22.90625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0003_size0.2.png,Is the cyan cube closer to the camera than the black sphere? Answer with yes or no.,No,Yes,23.578125,23.015625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0003_size0.1.png,Is the cyan cube closer to the camera than the black sphere? Answer with yes or no.,No,Yes,23.703125,22.9375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0004_size0.3.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,23.828125,23.65625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0004_size0.2.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,23.9375,23.78125,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0004_size0.1.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,24.09375,23.703125,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0005_size0.3.png,Is the green sphere closer to the camera than the cyan sphere? Answer with yes or no.,No,Yes,23.9375,23.859375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0005_size0.2.png,Is the green sphere closer to the camera than the cyan sphere? Answer with yes or no.,No,Yes,23.765625,23.453125,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0005_size0.1.png,Is the green sphere closer to the camera than the cyan sphere? Answer with yes or no.,No,Yes,24.140625,23.65625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0006_size0.3.png,Is the green cube closer to the camera than the blue sphere? Answer with yes or no.,No,Yes,24.171875,24.046875,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0006_size0.2.png,Is the green cube closer to the camera than the blue sphere? Answer with yes or no.,No,No,24.296875,24.34375,True
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0006_size0.1.png,Is the green cube closer to the camera than the blue sphere? Answer with yes or no.,No,Yes,24.09375,24.0,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0007_size0.3.png,Is the green cube closer to the camera than the cyan cube? Answer with yes or no.,No,Yes,23.359375,22.75,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0007_size0.2.png,Is the green cube closer to the camera than the cyan cube? Answer with yes or no.,No,Yes,23.65625,22.8125,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0007_size0.1.png,Is the green cube closer to the camera than the cyan cube? Answer with yes or no.,No,Yes,23.515625,22.640625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0008_size0.3.png,Is the green sphere closer to the camera than the black sphere? Answer with yes or no.,No,Yes,24.140625,23.5,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0008_size0.2.png,Is the green sphere closer to the camera than the black sphere? Answer with yes or no.,No,Yes,24.0625,23.359375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0008_size0.1.png,Is the green sphere closer to the camera than the black sphere? Answer with yes or no.,No,Yes,24.0,23.140625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0009_size0.3.png,Is the magenta sphere closer to the camera than the yellow sphere? Answer with yes or no.,No,Yes,24.296875,23.84375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0009_size0.2.png,Is the magenta sphere closer to the camera than the yellow sphere? Answer with yes or no.,No,Yes,24.25,23.859375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0009_size0.1.png,Is the magenta sphere closer to the camera than the yellow sphere? Answer with yes or no.,No,Yes,23.90625,23.578125,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0010_size0.3.png,Is the yellow sphere closer to the camera than the magenta cube? Answer with yes or no.,No,Yes,23.890625,23.03125,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0010_size0.2.png,Is the yellow sphere closer to the camera than the magenta cube? Answer with yes or no.,No,Yes,23.859375,23.21875,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0010_size0.1.png,Is the yellow sphere closer to the camera than the magenta cube? Answer with yes or no.,No,Yes,23.921875,23.1875,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0011_size0.3.png,Is the black sphere closer to the camera than the cyan cube? Answer with yes or no.,No,Yes,23.171875,22.71875,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0011_size0.2.png,Is the black sphere closer to the camera than the cyan cube? Answer with yes or no.,No,Yes,23.34375,22.875,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0011_size0.1.png,Is the black sphere closer to the camera than the cyan cube? Answer with yes or no.,No,Yes,23.40625,22.828125,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0012_size0.3.png,Is the magenta cube closer to the camera than the yellow sphere? Answer with yes or no.,No,Yes,23.875,23.296875,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0012_size0.2.png,Is the magenta cube closer to the camera than the yellow sphere? Answer with yes or no.,No,Yes,24.0625,23.515625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0012_size0.1.png,Is the magenta cube closer to the camera than the yellow sphere? Answer with yes or no.,No,Yes,23.703125,23.1875,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0013_size0.3.png,Is the green sphere closer to the camera than the yellow cube? Answer with yes or no.,No,Yes,24.59375,23.703125,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0013_size0.2.png,Is the green sphere closer to the camera than the yellow cube? Answer with yes or no.,No,Yes,24.28125,23.59375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0013_size0.1.png,Is the green sphere closer to the camera than the yellow cube? Answer with yes or no.,No,Yes,24.046875,23.4375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0014_size0.3.png,Is the magenta cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,23.84375,23.75,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0014_size0.2.png,Is the magenta cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,23.765625,23.65625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0014_size0.1.png,Is the magenta cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,23.78125,23.640625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0015_size0.3.png,Is the cyan sphere closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,24.25,23.40625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0015_size0.2.png,Is the cyan sphere closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,24.125,23.296875,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0015_size0.1.png,Is the cyan sphere closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,23.984375,23.140625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0016_size0.3.png,Is the red sphere closer to the camera than the yellow cube? Answer with yes or no.,No,Yes,23.703125,23.484375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0016_size0.2.png,Is the red sphere closer to the camera than the yellow cube? Answer with yes or no.,No,Yes,23.828125,23.515625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0016_size0.1.png,Is the red sphere closer to the camera than the yellow cube? Answer with yes or no.,No,Yes,23.90625,23.578125,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0017_size0.3.png,Is the blue sphere closer to the camera than the cyan cube? Answer with yes or no.,No,Yes,23.453125,23.28125,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0017_size0.2.png,Is the blue sphere closer to the camera than the cyan cube? Answer with yes or no.,No,Yes,23.4375,23.25,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0017_size0.1.png,Is the blue sphere closer to the camera than the cyan cube? Answer with yes or no.,No,Yes,23.359375,23.234375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0018_size0.3.png,Is the green cube closer to the camera than the yellow sphere? Answer with yes or no.,No,Yes,24.109375,23.453125,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0018_size0.2.png,Is the green cube closer to the camera than the yellow sphere? Answer with yes or no.,No,Yes,24.046875,23.4375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0018_size0.1.png,Is the green cube closer to the camera than the yellow sphere? Answer with yes or no.,No,Yes,24.0,23.34375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0019_size0.3.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,24.703125,23.5625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0019_size0.2.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,24.546875,23.515625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0019_size0.1.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,24.25,23.265625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0020_size0.3.png,Is the cyan sphere closer to the camera than the black cube? Answer with yes or no.,No,Yes,24.25,23.53125,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0020_size0.2.png,Is the cyan sphere closer to the camera than the black cube? Answer with yes or no.,No,Yes,24.03125,23.421875,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0020_size0.1.png,Is the cyan sphere closer to the camera than the black cube? Answer with yes or no.,No,Yes,24.03125,23.359375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0021_size0.3.png,Is the black cube closer to the camera than the yellow sphere? Answer with yes or no.,No,No,24.171875,24.328125,True
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0021_size0.2.png,Is the black cube closer to the camera than the yellow sphere? Answer with yes or no.,No,No,23.984375,24.171875,True
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0021_size0.1.png,Is the black cube closer to the camera than the yellow sphere? Answer with yes or no.,No,No,23.65625,23.875,True
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0022_size0.3.png,Is the cyan cube closer to the camera than the red sphere? Answer with yes or no.,No,Yes,23.59375,23.0625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0022_size0.2.png,Is the cyan cube closer to the camera than the red sphere? Answer with yes or no.,No,Yes,23.734375,23.109375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0022_size0.1.png,Is the cyan cube closer to the camera than the red sphere? Answer with yes or no.,No,Yes,23.8125,23.125,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0023_size0.3.png,Is the green sphere closer to the camera than the yellow sphere? Answer with yes or no.,No,Yes,25.328125,23.984375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0023_size0.2.png,Is the green sphere closer to the camera than the yellow sphere? Answer with yes or no.,No,Yes,25.03125,23.84375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0023_size0.1.png,Is the green sphere closer to the camera than the yellow sphere? Answer with yes or no.,No,Yes,24.625,23.546875,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0024_size0.3.png,Is the black cube closer to the camera than the blue sphere? Answer with yes or no.,No,Yes,23.28125,23.265625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0024_size0.2.png,Is the black cube closer to the camera than the blue sphere? Answer with yes or no.,No,No,23.125,23.125,True
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0024_size0.1.png,Is the black cube closer to the camera than the blue sphere? Answer with yes or no.,No,No,23.1875,23.25,True
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0025_size0.3.png,Is the cyan sphere closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,24.046875,23.328125,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0025_size0.2.png,Is the cyan sphere closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,23.8125,23.3125,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0025_size0.1.png,Is the cyan sphere closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,23.671875,23.265625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0026_size0.3.png,Is the yellow sphere closer to the camera than the magenta cube? Answer with yes or no.,No,Yes,23.828125,23.53125,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0026_size0.2.png,Is the yellow sphere closer to the camera than the magenta cube? Answer with yes or no.,No,Yes,23.8125,23.4375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0026_size0.1.png,Is the yellow sphere closer to the camera than the magenta cube? Answer with yes or no.,No,Yes,23.890625,23.3125,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0027_size0.3.png,Is the cyan sphere closer to the camera than the yellow sphere? Answer with yes or no.,No,Yes,24.59375,23.515625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0027_size0.2.png,Is the cyan sphere closer to the camera than the yellow sphere? Answer with yes or no.,No,Yes,24.171875,23.3125,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0027_size0.1.png,Is the cyan sphere closer to the camera than the yellow sphere? Answer with yes or no.,No,Yes,23.890625,23.25,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0028_size0.3.png,Is the cyan sphere closer to the camera than the cyan cube? Answer with yes or no.,No,No,23.515625,23.53125,True
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0028_size0.2.png,Is the cyan sphere closer to the camera than the cyan cube? Answer with yes or no.,No,No,23.421875,23.53125,True
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0028_size0.1.png,Is the cyan sphere closer to the camera than the cyan cube? Answer with yes or no.,No,Yes,23.71875,23.625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0029_size0.3.png,Is the blue sphere closer to the camera than the yellow sphere? Answer with yes or no.,No,Yes,24.0625,23.15625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0029_size0.2.png,Is the blue sphere closer to the camera than the yellow sphere? Answer with yes or no.,No,Yes,23.921875,23.03125,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0029_size0.1.png,Is the blue sphere closer to the camera than the yellow sphere? Answer with yes or no.,No,Yes,23.765625,22.96875,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0030_size0.3.png,Is the red sphere closer to the camera than the yellow cube? Answer with yes or no.,No,Yes,24.15625,23.640625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0030_size0.2.png,Is the red sphere closer to the camera than the yellow cube? Answer with yes or no.,No,Yes,23.90625,23.4375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/far/0030_size0.1.png,Is the red sphere closer to the camera than the yellow cube? Answer with yes or no.,No,Yes,23.984375,23.375,False
