metric	value
mean_p_correct	0.9353465198957971
rmse_avg	0.05037640132555814
obj1_top	0.9356865309464881
obj1_bottom	0.9266767057097895
obj1_delta_bottom_vs_top	-0.009009825236698576
obj2_top	0.9193694500639469
obj2_bottom	0.9507413858728567
obj2_delta_bottom_vs_top	0.031371935808909845
obj1_right	0.9385863920366389
obj1_left	0.9312194051463429
obj1_delta_left_vs_right	-0.007366986890295912
obj2_right	0.9327876981729499
obj2_left	0.9351190665656635
obj2_delta_left_vs_right	0.0023313683927135287
o1top_o2bot	0.9483925538487759
o1bot_o2top	0.9068492160536442
delta_o1top_o2bot_vs_o1bot_o2top	0.04154333779513164
