model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA00_phB00.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,21.734375,18.15625,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA00_phB01.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,21.484375,18.5625,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA00_phB02.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,21.328125,18.046875,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA00_phB03.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,21.75,17.828125,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA00_phB04.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,21.828125,17.8125,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA00_phB05.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,21.578125,17.3125,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA00_phB06.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,21.515625,17.046875,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA00_phB07.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,21.75,17.171875,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA00_phB08.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,21.84375,17.25,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA00_phB09.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,22.015625,17.8125,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA00_phB10.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,21.8125,16.28125,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA00_phB11.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,22.0,16.40625,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA00_phB12.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,22.046875,16.515625,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA00_phB13.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,22.0625,16.859375,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA00_phB14.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,22.046875,16.96875,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA00_phB15.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,21.890625,18.0,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA01_phB00.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,21.703125,17.984375,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA01_phB01.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,21.578125,18.578125,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA01_phB02.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,21.40625,18.203125,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA01_phB03.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,21.859375,17.828125,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA01_phB04.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,21.953125,17.796875,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA01_phB05.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,21.6875,17.25,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA01_phB06.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,21.609375,16.890625,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA01_phB07.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,21.84375,16.984375,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA01_phB08.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,21.9375,17.265625,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA01_phB09.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,22.0625,17.84375,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA01_phB10.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,21.9375,16.359375,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA01_phB11.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,22.0625,16.375,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA01_phB12.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,22.125,16.5,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA01_phB13.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,22.15625,16.875,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA01_phB14.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,22.078125,16.96875,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA01_phB15.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,21.796875,17.953125,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA02_phB00.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,21.890625,18.375,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA02_phB01.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,22.03125,18.6875,True
Zhoues/RoboRefer-2B-SFT,obj2_closer,output/phasevar_5/0000_phA02_phB02.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,21.515625,18.640625,True
