metric	value
mean_accuracy	0.7941080729166667
min_accuracy	0.2708333333333333
max_accuracy	1.0
obj1_top	0.8778645833333332
obj1_bottom	0.70859375
obj1_delta_bottom_vs_top	-0.16927083333333315
obj2_top	0.59765625
obj2_bottom	0.9942708333333332
obj2_delta_bottom_vs_top	0.3966145833333332
obj1_right	0.8299479166666666
obj1_left	0.7578125
obj1_delta_left_vs_right	-0.07213541666666656
obj2_right	0.7916666666666666
obj2_left	0.8471354166666668
obj2_delta_left_vs_right	0.05546875000000018
o1top_o2bot	0.9941666666666665
o1bot_o2top	0.465
delta_o1top_o2bot_vs_o1bot_o2top	0.5291666666666666
