model_path,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,output/sizevar/far/0000_size0.3.png,Is the red cube closer to the camera than the green cube? Answer with yes or no.,No,No,21.59375,25.625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,output/sizevar/far/0000_size0.2.png,Is the red cube closer to the camera than the green cube? Answer with yes or no.,No,No,21.21875,24.578125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,output/sizevar/far/0000_size0.1.png,Is the red cube closer to the camera than the green cube? Answer with yes or no.,No,No,21.0625,24.0625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,output/sizevar/far/0001_size0.3.png,Is the cyan cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,21.859375,23.09375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,output/sizevar/far/0001_size0.2.png,Is the cyan cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,21.96875,22.9375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,output/sizevar/far/0001_size0.1.png,Is the cyan cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,21.96875,23.421875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,output/sizevar/far/0002_size0.3.png,Is the blue sphere closer to the camera than the magenta sphere? Answer with yes or no.,No,No,22.046875,22.90625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,output/sizevar/far/0002_size0.2.png,Is the blue sphere closer to the camera than the magenta sphere? Answer with yes or no.,No,No,22.203125,22.78125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,output/sizevar/far/0002_size0.1.png,Is the blue sphere closer to the camera than the magenta sphere? Answer with yes or no.,No,No,22.609375,22.65625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,output/sizevar/far/0003_size0.3.png,Is the cyan cube closer to the camera than the black sphere? Answer with yes or no.,No,No,22.578125,25.21875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,output/sizevar/far/0003_size0.2.png,Is the cyan cube closer to the camera than the black sphere? Answer with yes or no.,No,No,22.484375,24.4375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,output/sizevar/far/0003_size0.1.png,Is the cyan cube closer to the camera than the black sphere? Answer with yes or no.,No,No,22.625,24.0625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,output/sizevar/far/0004_size0.3.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,21.8125,26.15625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,output/sizevar/far/0004_size0.2.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,21.515625,24.984375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,output/sizevar/far/0004_size0.1.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,21.46875,25.0625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,output/sizevar/far/0005_size0.3.png,Is the green sphere closer to the camera than the cyan sphere? Answer with yes or no.,No,No,21.921875,22.171875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,output/sizevar/far/0005_size0.2.png,Is the green sphere closer to the camera than the cyan sphere? Answer with yes or no.,No,No,21.6875,22.484375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,output/sizevar/far/0005_size0.1.png,Is the green sphere closer to the camera than the cyan sphere? Answer with yes or no.,No,No,21.765625,22.234375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,output/sizevar/far/0006_size0.3.png,Is the green cube closer to the camera than the blue sphere? Answer with yes or no.,No,No,21.90625,25.1875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,output/sizevar/far/0006_size0.2.png,Is the green cube closer to the camera than the blue sphere? Answer with yes or no.,No,No,21.859375,25.140625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,output/sizevar/far/0006_size0.1.png,Is the green cube closer to the camera than the blue sphere? Answer with yes or no.,No,No,22.046875,25.34375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,output/sizevar/far/0007_size0.3.png,Is the green cube closer to the camera than the cyan cube? Answer with yes or no.,No,No,22.140625,22.875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_2M-20260205_003632,output/sizevar/far/0007_size0.2.png,Is the green cube closer to the camera than the cyan cube? Answer with yes or no.,No,Yes,22.390625,22.28125,False
