model_path,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0000_s10.100_s20.300.png,Is the green cube closer to the camera than the cyan sphere? Answer with yes or no.,No,No,18.875,20.125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0000_s10.120_s20.280.png,Is the green cube closer to the camera than the cyan sphere? Answer with yes or no.,No,No,18.609375,19.96875,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0000_s10.140_s20.260.png,Is the green cube closer to the camera than the cyan sphere? Answer with yes or no.,No,No,18.546875,19.84375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0000_s10.160_s20.240.png,Is the green cube closer to the camera than the cyan sphere? Answer with yes or no.,No,No,18.640625,19.859375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0000_s10.180_s20.220.png,Is the green cube closer to the camera than the cyan sphere? Answer with yes or no.,No,No,18.84375,20.09375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0000_s10.200_s20.200.png,Is the green cube closer to the camera than the cyan sphere? Answer with yes or no.,No,No,18.828125,20.046875,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0000_s10.220_s20.180.png,Is the green cube closer to the camera than the cyan sphere? Answer with yes or no.,No,No,18.859375,20.0,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0000_s10.240_s20.160.png,Is the green cube closer to the camera than the cyan sphere? Answer with yes or no.,No,No,18.671875,19.9375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0000_s10.260_s20.140.png,Is the green cube closer to the camera than the cyan sphere? Answer with yes or no.,No,No,18.546875,19.875,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0000_s10.280_s20.120.png,Is the green cube closer to the camera than the cyan sphere? Answer with yes or no.,No,No,18.8125,19.921875,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0000_s10.300_s20.100.png,Is the green cube closer to the camera than the cyan sphere? Answer with yes or no.,No,No,18.984375,19.84375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0001_s10.100_s20.300.png,Is the yellow sphere closer to the camera than the red sphere? Answer with yes or no.,No,No,18.40625,20.1875,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0001_s10.120_s20.280.png,Is the yellow sphere closer to the camera than the red sphere? Answer with yes or no.,No,No,18.328125,20.296875,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0001_s10.140_s20.260.png,Is the yellow sphere closer to the camera than the red sphere? Answer with yes or no.,No,No,18.203125,20.109375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0001_s10.160_s20.240.png,Is the yellow sphere closer to the camera than the red sphere? Answer with yes or no.,No,No,18.25,20.234375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0001_s10.180_s20.220.png,Is the yellow sphere closer to the camera than the red sphere? Answer with yes or no.,No,No,18.421875,20.359375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0001_s10.200_s20.200.png,Is the yellow sphere closer to the camera than the red sphere? Answer with yes or no.,No,No,18.1875,20.171875,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0001_s10.220_s20.180.png,Is the yellow sphere closer to the camera than the red sphere? Answer with yes or no.,No,No,18.234375,20.171875,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0001_s10.240_s20.160.png,Is the yellow sphere closer to the camera than the red sphere? Answer with yes or no.,No,No,18.140625,20.015625,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0001_s10.260_s20.140.png,Is the yellow sphere closer to the camera than the red sphere? Answer with yes or no.,No,No,18.34375,20.15625,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0001_s10.280_s20.120.png,Is the yellow sphere closer to the camera than the red sphere? Answer with yes or no.,No,No,18.375,19.984375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0001_s10.300_s20.100.png,Is the yellow sphere closer to the camera than the red sphere? Answer with yes or no.,No,No,18.703125,20.078125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0002_s10.100_s20.300.png,Is the yellow cube closer to the camera than the green cube? Answer with yes or no.,No,No,19.625,20.75,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0002_s10.120_s20.280.png,Is the yellow cube closer to the camera than the green cube? Answer with yes or no.,No,No,19.546875,20.671875,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0002_s10.140_s20.260.png,Is the yellow cube closer to the camera than the green cube? Answer with yes or no.,No,No,19.171875,20.3125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0002_s10.160_s20.240.png,Is the yellow cube closer to the camera than the green cube? Answer with yes or no.,No,No,19.484375,20.59375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0002_s10.180_s20.220.png,Is the yellow cube closer to the camera than the green cube? Answer with yes or no.,No,No,19.265625,20.5,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0002_s10.200_s20.200.png,Is the yellow cube closer to the camera than the green cube? Answer with yes or no.,No,No,19.4375,20.640625,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0002_s10.220_s20.180.png,Is the yellow cube closer to the camera than the green cube? Answer with yes or no.,No,No,19.203125,20.625,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0002_s10.240_s20.160.png,Is the yellow cube closer to the camera than the green cube? Answer with yes or no.,No,No,19.359375,20.640625,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0002_s10.260_s20.140.png,Is the yellow cube closer to the camera than the green cube? Answer with yes or no.,No,No,19.6875,20.78125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0002_s10.280_s20.120.png,Is the yellow cube closer to the camera than the green cube? Answer with yes or no.,No,No,20.0,20.71875,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0002_s10.300_s20.100.png,Is the yellow cube closer to the camera than the green cube? Answer with yes or no.,No,No,19.640625,20.703125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0003_s10.100_s20.300.png,Is the magenta sphere closer to the camera than the green cube? Answer with yes or no.,No,No,18.453125,20.4375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0003_s10.120_s20.280.png,Is the magenta sphere closer to the camera than the green cube? Answer with yes or no.,No,No,18.546875,20.484375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0003_s10.140_s20.260.png,Is the magenta sphere closer to the camera than the green cube? Answer with yes or no.,No,No,18.46875,20.5,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0003_s10.160_s20.240.png,Is the magenta sphere closer to the camera than the green cube? Answer with yes or no.,No,No,18.671875,20.8125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0003_s10.180_s20.220.png,Is the magenta sphere closer to the camera than the green cube? Answer with yes or no.,No,No,18.421875,20.609375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0003_s10.200_s20.200.png,Is the magenta sphere closer to the camera than the green cube? Answer with yes or no.,No,No,18.484375,20.5625,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0003_s10.220_s20.180.png,Is the magenta sphere closer to the camera than the green cube? Answer with yes or no.,No,No,18.578125,20.671875,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0003_s10.240_s20.160.png,Is the magenta sphere closer to the camera than the green cube? Answer with yes or no.,No,No,18.796875,20.515625,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0003_s10.260_s20.140.png,Is the magenta sphere closer to the camera than the green cube? Answer with yes or no.,No,No,18.859375,20.609375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0003_s10.280_s20.120.png,Is the magenta sphere closer to the camera than the green cube? Answer with yes or no.,No,No,19.3125,20.703125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0003_s10.300_s20.100.png,Is the magenta sphere closer to the camera than the green cube? Answer with yes or no.,No,No,19.4375,20.609375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0004_s10.100_s20.300.png,Is the yellow cube closer to the camera than the cyan sphere? Answer with yes or no.,No,No,19.0625,20.09375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0004_s10.120_s20.280.png,Is the yellow cube closer to the camera than the cyan sphere? Answer with yes or no.,No,No,19.3125,20.203125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0004_s10.140_s20.260.png,Is the yellow cube closer to the camera than the cyan sphere? Answer with yes or no.,No,No,19.359375,20.09375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0004_s10.160_s20.240.png,Is the yellow cube closer to the camera than the cyan sphere? Answer with yes or no.,No,No,19.53125,20.0625,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0004_s10.180_s20.220.png,Is the yellow cube closer to the camera than the cyan sphere? Answer with yes or no.,No,No,19.40625,20.125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0004_s10.200_s20.200.png,Is the yellow cube closer to the camera than the cyan sphere? Answer with yes or no.,No,No,19.1875,19.9375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0004_s10.220_s20.180.png,Is the yellow cube closer to the camera than the cyan sphere? Answer with yes or no.,No,No,19.15625,20.046875,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0004_s10.240_s20.160.png,Is the yellow cube closer to the camera than the cyan sphere? Answer with yes or no.,No,No,19.0625,20.046875,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0004_s10.260_s20.140.png,Is the yellow cube closer to the camera than the cyan sphere? Answer with yes or no.,No,No,18.984375,19.84375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0004_s10.280_s20.120.png,Is the yellow cube closer to the camera than the cyan sphere? Answer with yes or no.,No,No,19.109375,19.890625,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0004_s10.300_s20.100.png,Is the yellow cube closer to the camera than the cyan sphere? Answer with yes or no.,No,No,19.140625,19.890625,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0005_s10.100_s20.300.png,Is the green sphere closer to the camera than the cyan sphere? Answer with yes or no.,No,Yes,20.375,19.28125,False
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0005_s10.120_s20.280.png,Is the green sphere closer to the camera than the cyan sphere? Answer with yes or no.,No,Yes,20.140625,19.328125,False
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0005_s10.140_s20.260.png,Is the green sphere closer to the camera than the cyan sphere? Answer with yes or no.,No,Yes,20.125,19.59375,False
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0005_s10.160_s20.240.png,Is the green sphere closer to the camera than the cyan sphere? Answer with yes or no.,No,Yes,20.0,19.59375,False
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0005_s10.180_s20.220.png,Is the green sphere closer to the camera than the cyan sphere? Answer with yes or no.,No,Yes,19.921875,19.578125,False
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0005_s10.200_s20.200.png,Is the green sphere closer to the camera than the cyan sphere? Answer with yes or no.,No,Yes,20.265625,19.4375,False
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0005_s10.220_s20.180.png,Is the green sphere closer to the camera than the cyan sphere? Answer with yes or no.,No,Yes,20.3125,19.40625,False
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0005_s10.240_s20.160.png,Is the green sphere closer to the camera than the cyan sphere? Answer with yes or no.,No,Yes,20.4375,19.421875,False
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0005_s10.260_s20.140.png,Is the green sphere closer to the camera than the cyan sphere? Answer with yes or no.,No,Yes,20.4375,19.4375,False
Zhoues/RoboRefer-2B-SFT,output/sizevar/both/0005_s10.280_s20.120.png,Is the green sphere closer to the camera than the cyan sphere? Answer with yes or no.,No,Yes,20.40625,19.28125,False
