metric	value
mean_accuracy	0.9188639322916667
min_accuracy	0.6458333333333334
max_accuracy	1.0
obj1_top	0.8927083333333334
obj1_bottom	0.9328125
obj1_delta_bottom_vs_top	0.04010416666666661
obj2_top	0.8604166666666666
obj2_bottom	0.9794270833333334
obj2_delta_bottom_vs_top	0.11901041666666679
obj1_right	0.9268229166666668
obj1_left	0.92734375
obj1_delta_left_vs_right	0.0005208333333331927
obj2_right	0.91796875
obj2_left	0.9072916666666668
obj2_delta_left_vs_right	-0.01067708333333317
o1top_o2bot	0.9375
o1bot_o2top	0.8533333333333333
delta_o1top_o2bot_vs_o1bot_o2top	0.08416666666666672
