metric	value
mean_p_correct	0.8120090165434789
min_p_correct	0.5781241969756349
max_p_correct	0.9643017271435874
rmse_avg	0.13289827917895963
obj1_top	0.8021165871263438
obj1_bottom	0.8392514589151091
obj1_delta_bottom_vs_top	0.03713487178876529
obj2_top	0.7324466334721622
obj2_bottom	0.9040747154112868
obj2_delta_bottom_vs_top	0.1716280819391246
obj1_right	0.8178388735263866
obj1_left	0.7897149945551238
obj1_delta_left_vs_right	-0.028123878971262783
obj2_right	0.7709808112093833
obj2_left	0.8520407059964714
obj2_delta_left_vs_right	0.08105989478708808
o1top_o2bot	0.8958482345225207
o1bot_o2top	0.771508068386425
delta_o1top_o2bot_vs_o1bot_o2top	0.12434016613609566
