model,media,prompt,response,layer_idx,image_ratio,prompt_ratio,gen_ratio
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,0,0.1126708984375,0.53466796875,0.3525390625
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,1,0.11865234375,0.75927734375,0.12200927734375
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,2,0.69677734375,0.27197265625,0.03155517578125
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,3,0.489501953125,0.450439453125,0.059814453125
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,4,0.481689453125,0.43408203125,0.08441162109375
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,5,0.59814453125,0.32275390625,0.07904052734375
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,6,0.5126953125,0.424072265625,0.063232421875
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,7,0.5791015625,0.361083984375,0.060089111328125
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,8,0.452392578125,0.369873046875,0.1776123046875
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,9,0.7099609375,0.2296142578125,0.06048583984375
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,10,0.474365234375,0.4541015625,0.07159423828125
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,11,0.365966796875,0.57666015625,0.0576171875
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,12,0.415771484375,0.470703125,0.1136474609375
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,13,0.29931640625,0.654296875,0.04656982421875
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,14,0.51318359375,0.446533203125,0.04010009765625
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,15,0.327392578125,0.6044921875,0.0679931640625
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,16,0.13818359375,0.66455078125,0.197265625
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,17,0.3125,0.6123046875,0.07537841796875
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,18,0.501953125,0.32275390625,0.1756591796875
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,19,0.5537109375,0.405517578125,0.040557861328125
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,20,0.468994140625,0.4716796875,0.059661865234375
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,21,0.495849609375,0.42529296875,0.078857421875
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,22,0.6796875,0.30517578125,0.01523590087890625
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,23,0.60498046875,0.28857421875,0.10614013671875
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,24,0.646484375,0.2215576171875,0.132080078125
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,25,0.6728515625,0.298095703125,0.029083251953125
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,26,0.61865234375,0.254638671875,0.126708984375
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,27,0.63037109375,0.27880859375,0.091064453125
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,0,0.1126708984375,0.53466796875,0.3525390625
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,1,0.11865234375,0.75927734375,0.12200927734375
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,2,0.69677734375,0.27197265625,0.03155517578125
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,3,0.489501953125,0.450439453125,0.059814453125
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,4,0.481689453125,0.43408203125,0.08441162109375
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,5,0.59814453125,0.32275390625,0.07904052734375
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,6,0.5126953125,0.424072265625,0.063232421875
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,7,0.5791015625,0.361083984375,0.060089111328125
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,8,0.452392578125,0.369873046875,0.1776123046875
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,9,0.7099609375,0.2296142578125,0.06048583984375
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,10,0.474365234375,0.4541015625,0.07159423828125
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,11,0.365966796875,0.57666015625,0.0576171875
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,12,0.415771484375,0.470703125,0.1136474609375
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,13,0.29931640625,0.654296875,0.04656982421875
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,14,0.51318359375,0.446533203125,0.04010009765625
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,15,0.327392578125,0.6044921875,0.0679931640625
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,16,0.13818359375,0.66455078125,0.197265625
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,17,0.3125,0.6123046875,0.07537841796875
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,18,0.501953125,0.32275390625,0.1756591796875
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,19,0.5537109375,0.405517578125,0.040557861328125
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,20,0.468994140625,0.4716796875,0.059661865234375
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,21,0.495849609375,0.42529296875,0.078857421875
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,22,0.6796875,0.30517578125,0.01523590087890625
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,23,0.60498046875,0.28857421875,0.10614013671875
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,24,0.646484375,0.2215576171875,0.132080078125
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,25,0.6728515625,0.298095703125,0.029083251953125
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,26,0.61865234375,0.254638671875,0.126708984375
Efficient-Large-Model/NVILA-Lite-2B,demo_images/embspatial_300.jpg,"What is the counter in relation to the towel? Answer with left, right, above or under.",The counter is to the right of the towel.,27,0.63037109375,0.27880859375,0.091064453125
