model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
Efficient-Large-Model/NVILA-Lite-2B,obj1_farther,output/phasevar_5/0000_phA00_phB00.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,24.78125,24.421875,True
Efficient-Large-Model/NVILA-Lite-2B,obj1_farther,output/phasevar_5/0000_phA00_phB01.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,24.90625,24.5,True
Efficient-Large-Model/NVILA-Lite-2B,obj1_farther,output/phasevar_5/0000_phA00_phB02.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,24.96875,24.625,True
Efficient-Large-Model/NVILA-Lite-2B,obj1_farther,output/phasevar_5/0000_phA00_phB03.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,24.8125,24.359375,True
Efficient-Large-Model/NVILA-Lite-2B,obj1_farther,output/phasevar_5/0000_phA00_phB04.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,24.640625,24.25,True
Efficient-Large-Model/NVILA-Lite-2B,obj1_farther,output/phasevar_5/0000_phA00_phB05.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,25.046875,24.546875,True
Efficient-Large-Model/NVILA-Lite-2B,obj1_farther,output/phasevar_5/0000_phA00_phB06.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,25.1875,24.890625,True
Efficient-Large-Model/NVILA-Lite-2B,obj1_farther,output/phasevar_5/0000_phA00_phB07.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,25.515625,25.078125,True
Efficient-Large-Model/NVILA-Lite-2B,obj1_farther,output/phasevar_5/0000_phA00_phB08.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,25.140625,24.78125,True
Efficient-Large-Model/NVILA-Lite-2B,obj1_farther,output/phasevar_5/0000_phA00_phB09.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,25.078125,24.671875,True
Efficient-Large-Model/NVILA-Lite-2B,obj1_farther,output/phasevar_5/0000_phA00_phB10.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,25.609375,25.0,True
Efficient-Large-Model/NVILA-Lite-2B,obj1_farther,output/phasevar_5/0000_phA00_phB11.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,25.28125,24.71875,True
Efficient-Large-Model/NVILA-Lite-2B,obj1_farther,output/phasevar_5/0000_phA00_phB12.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,24.953125,24.46875,True
