metric	value
mean_p_correct	0.48823367649530736
min_p_correct	0.4379324989813412
max_p_correct	0.5336027143465322
rmse_avg	0.15120485845341558
obj1_top	0.5016397546976832
obj1_bottom	0.473385209796754
obj1_delta_bottom_vs_top	-0.028254544900929157
obj2_top	0.46710203412194884
obj2_bottom	0.5032895834831838
obj2_delta_bottom_vs_top	0.036187549361234916
obj1_right	0.5007384245924121
obj1_left	0.4774071465934039
obj1_delta_left_vs_right	-0.02333127799900825
obj2_right	0.4775209163974209
obj2_left	0.501930033286652
obj2_delta_left_vs_right	0.024409116889231086
o1top_o2bot	0.516435897792014
o1bot_o2top	0.45315521142760085
delta_o1top_o2bot_vs_o1bot_o2top	0.0632806863644132
