model_path,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
Zhoues/RoboRefer-2B-SFT,output/sizevar/far/0000_size0.3.png,Is the red cube closer to the camera than the green cube? Answer with yes or no.,No,No,18.765625,19.921875,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/far/0000_size0.2.png,Is the red cube closer to the camera than the green cube? Answer with yes or no.,No,No,19.34375,20.03125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/far/0000_size0.1.png,Is the red cube closer to the camera than the green cube? Answer with yes or no.,No,No,19.71875,20.125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/far/0001_size0.3.png,Is the cyan cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,19.328125,19.8125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/far/0001_size0.2.png,Is the cyan cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,19.640625,19.875,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/far/0001_size0.1.png,Is the cyan cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,19.40625,19.875,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/far/0002_size0.3.png,Is the blue sphere closer to the camera than the magenta sphere? Answer with yes or no.,No,No,19.125,19.578125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/far/0002_size0.2.png,Is the blue sphere closer to the camera than the magenta sphere? Answer with yes or no.,No,No,19.109375,19.703125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/far/0002_size0.1.png,Is the blue sphere closer to the camera than the magenta sphere? Answer with yes or no.,No,No,19.296875,19.671875,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/far/0003_size0.3.png,Is the cyan cube closer to the camera than the black sphere? Answer with yes or no.,No,No,19.953125,20.515625,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/far/0003_size0.2.png,Is the cyan cube closer to the camera than the black sphere? Answer with yes or no.,No,No,20.09375,20.359375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/far/0003_size0.1.png,Is the cyan cube closer to the camera than the black sphere? Answer with yes or no.,No,No,19.890625,20.140625,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/far/0004_size0.3.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,18.046875,20.234375,True
