model_path,text,image,Yes_logit,No_logit
Efficient-Large-Model/NVILA-Lite-2B,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0000.png,23.65625,23.109375
Efficient-Large-Model/NVILA-Lite-2B,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0001.png,23.9375,23.15625
Efficient-Large-Model/NVILA-Lite-2B,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0002.png,23.828125,23.21875
Efficient-Large-Model/NVILA-Lite-2B,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0003.png,24.203125,23.328125
Efficient-Large-Model/NVILA-Lite-2B,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0004.png,24.046875,23.328125
Efficient-Large-Model/NVILA-Lite-2B,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0005.png,24.0,23.375
Efficient-Large-Model/NVILA-Lite-2B,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0006.png,23.796875,23.375
Efficient-Large-Model/NVILA-Lite-2B,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0007.png,23.8125,23.4375
Efficient-Large-Model/NVILA-Lite-2B,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0008.png,23.640625,23.296875
Efficient-Large-Model/NVILA-Lite-2B,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0009.png,23.890625,23.421875
Efficient-Large-Model/NVILA-Lite-2B,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0010.png,23.9375,23.4375
Efficient-Large-Model/NVILA-Lite-2B,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0011.png,24.265625,23.71875
Efficient-Large-Model/NVILA-Lite-2B,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0012.png,24.203125,23.625
Efficient-Large-Model/NVILA-Lite-2B,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0013.png,24.09375,23.5625
Efficient-Large-Model/NVILA-Lite-2B,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0014.png,24.0,23.53125
Efficient-Large-Model/NVILA-Lite-2B,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0015.png,23.71875,23.1875
Efficient-Large-Model/NVILA-Lite-2B,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0016.png,23.515625,23.171875
Efficient-Large-Model/NVILA-Lite-2B,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0017.png,23.734375,23.1875
Efficient-Large-Model/NVILA-Lite-2B,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0018.png,23.796875,23.328125
Efficient-Large-Model/NVILA-Lite-2B,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0019.png,23.9375,23.265625
Efficient-Large-Model/NVILA-Lite-2B,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0020.png,23.953125,23.390625
Efficient-Large-Model/NVILA-Lite-2B,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0021.png,23.90625,23.4375
Efficient-Large-Model/NVILA-Lite-2B,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0022.png,23.71875,23.421875
Efficient-Large-Model/NVILA-Lite-2B,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0023.png,23.8125,23.4375
Efficient-Large-Model/NVILA-Lite-2B,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0024.png,23.703125,23.234375
