model_path,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_80K-20251108_180221,output/sizevar/close/0000_size0.3.png,Is the magenta cube closer to the camera than the yellow sphere? Answer with yes or no.,Yes,Yes,24.875,23.296875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_80K-20251108_180221,output/sizevar/close/0000_size0.2.png,Is the magenta cube closer to the camera than the yellow sphere? Answer with yes or no.,Yes,Yes,24.890625,23.34375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_80K-20251108_180221,output/sizevar/close/0000_size0.1.png,Is the magenta cube closer to the camera than the yellow sphere? Answer with yes or no.,Yes,Yes,24.90625,23.40625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_80K-20251108_180221,output/sizevar/close/0001_size0.3.png,Is the yellow sphere closer to the camera than the green sphere? Answer with yes or no.,Yes,Yes,23.71875,23.53125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_80K-20251108_180221,output/sizevar/close/0001_size0.2.png,Is the yellow sphere closer to the camera than the green sphere? Answer with yes or no.,Yes,Yes,23.90625,23.4375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_80K-20251108_180221,output/sizevar/close/0001_size0.1.png,Is the yellow sphere closer to the camera than the green sphere? Answer with yes or no.,Yes,Yes,23.921875,23.390625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_80K-20251108_180221,output/sizevar/close/0002_size0.3.png,Is the blue cube closer to the camera than the black sphere? Answer with yes or no.,Yes,Yes,24.0625,23.515625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_80K-20251108_180221,output/sizevar/close/0002_size0.2.png,Is the blue cube closer to the camera than the black sphere? Answer with yes or no.,Yes,Yes,24.046875,23.515625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_80K-20251108_180221,output/sizevar/close/0002_size0.1.png,Is the blue cube closer to the camera than the black sphere? Answer with yes or no.,Yes,Yes,24.0,23.484375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_80K-20251108_180221,output/sizevar/close/0003_size0.3.png,Is the cyan cube closer to the camera than the green cube? Answer with yes or no.,Yes,Yes,23.671875,23.359375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_80K-20251108_180221,output/sizevar/close/0003_size0.2.png,Is the cyan cube closer to the camera than the green cube? Answer with yes or no.,Yes,Yes,23.765625,23.296875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_80K-20251108_180221,output/sizevar/close/0003_size0.1.png,Is the cyan cube closer to the camera than the green cube? Answer with yes or no.,Yes,Yes,23.875,23.28125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_80K-20251108_180221,output/sizevar/close/0004_size0.3.png,Is the cyan cube closer to the camera than the black cube? Answer with yes or no.,Yes,Yes,23.75,23.1875,True
