metric	value
mean_accuracy	0.97705078125
min_accuracy	0.625
max_accuracy	1.0
obj1_top	0.9825520833333334
obj1_bottom	0.9802083333333332
obj1_delta_bottom_vs_top	-0.0023437500000002
obj2_top	0.94765625
obj2_bottom	1.0
obj2_delta_bottom_vs_top	0.05234375000000002
obj1_right	0.9888020833333334
obj1_left	0.9567708333333332
obj1_delta_left_vs_right	-0.03203125000000018
obj2_right	0.97265625
obj2_left	0.9997395833333333
obj2_delta_left_vs_right	0.027083333333333348
o1top_o2bot	1.0
o1bot_o2top	0.965
delta_o1top_o2bot_vs_o1bot_o2top	0.03500000000000003
