model_path,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0000_size0.3.png,Is the magenta cube closer to the camera than the yellow sphere? Answer with yes or no.,Yes,Yes,23.171875,19.578125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0000_size0.2.png,Is the magenta cube closer to the camera than the yellow sphere? Answer with yes or no.,Yes,Yes,23.109375,19.28125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0000_size0.1.png,Is the magenta cube closer to the camera than the yellow sphere? Answer with yes or no.,Yes,Yes,23.015625,19.15625,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0001_size0.3.png,Is the yellow sphere closer to the camera than the green sphere? Answer with yes or no.,Yes,Yes,21.75,18.796875,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0001_size0.2.png,Is the yellow sphere closer to the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.09375,18.265625,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0001_size0.1.png,Is the yellow sphere closer to the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.296875,18.359375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0002_size0.3.png,Is the blue cube closer to the camera than the black sphere? Answer with yes or no.,Yes,Yes,22.203125,18.828125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0002_size0.2.png,Is the blue cube closer to the camera than the black sphere? Answer with yes or no.,Yes,Yes,22.15625,18.6875,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0002_size0.1.png,Is the blue cube closer to the camera than the black sphere? Answer with yes or no.,Yes,Yes,22.265625,18.96875,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0003_size0.3.png,Is the cyan cube closer to the camera than the green cube? Answer with yes or no.,Yes,Yes,21.359375,19.8125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0003_size0.2.png,Is the cyan cube closer to the camera than the green cube? Answer with yes or no.,Yes,Yes,21.96875,19.6875,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0003_size0.1.png,Is the cyan cube closer to the camera than the green cube? Answer with yes or no.,Yes,Yes,21.734375,19.578125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0004_size0.3.png,Is the cyan cube closer to the camera than the black cube? Answer with yes or no.,Yes,Yes,22.421875,18.171875,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0004_size0.2.png,Is the cyan cube closer to the camera than the black cube? Answer with yes or no.,Yes,Yes,22.296875,17.828125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0004_size0.1.png,Is the cyan cube closer to the camera than the black cube? Answer with yes or no.,Yes,Yes,22.390625,18.171875,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0005_size0.3.png,Is the black cube closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,21.390625,19.640625,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0005_size0.2.png,Is the black cube closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,21.40625,19.453125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0005_size0.1.png,Is the black cube closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,22.5,19.25,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0006_size0.3.png,Is the green sphere closer to the camera than the black cube? Answer with yes or no.,Yes,Yes,21.671875,19.640625,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0006_size0.2.png,Is the green sphere closer to the camera than the black cube? Answer with yes or no.,Yes,Yes,21.71875,19.4375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0006_size0.1.png,Is the green sphere closer to the camera than the black cube? Answer with yes or no.,Yes,Yes,21.734375,19.578125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0007_size0.3.png,Is the black sphere closer to the camera than the green cube? Answer with yes or no.,Yes,Yes,22.078125,19.0,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0007_size0.2.png,Is the black sphere closer to the camera than the green cube? Answer with yes or no.,Yes,Yes,22.265625,19.125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0007_size0.1.png,Is the black sphere closer to the camera than the green cube? Answer with yes or no.,Yes,Yes,22.4375,19.5,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0008_size0.3.png,Is the cyan sphere closer to the camera than the magenta sphere? Answer with yes or no.,Yes,Yes,21.921875,17.859375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0008_size0.2.png,Is the cyan sphere closer to the camera than the magenta sphere? Answer with yes or no.,Yes,Yes,22.0,17.578125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0008_size0.1.png,Is the cyan sphere closer to the camera than the magenta sphere? Answer with yes or no.,Yes,Yes,22.046875,17.984375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0009_size0.3.png,Is the black cube closer to the camera than the magenta cube? Answer with yes or no.,Yes,Yes,22.453125,19.15625,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0009_size0.2.png,Is the black cube closer to the camera than the magenta cube? Answer with yes or no.,Yes,Yes,22.578125,19.34375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0009_size0.1.png,Is the black cube closer to the camera than the magenta cube? Answer with yes or no.,Yes,Yes,22.765625,19.125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0010_size0.3.png,Is the black cube closer to the camera than the green cube? Answer with yes or no.,Yes,Yes,22.765625,19.609375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0010_size0.2.png,Is the black cube closer to the camera than the green cube? Answer with yes or no.,Yes,Yes,22.828125,19.125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0010_size0.1.png,Is the black cube closer to the camera than the green cube? Answer with yes or no.,Yes,Yes,22.90625,18.75,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0011_size0.3.png,Is the cyan sphere closer to the camera than the black cube? Answer with yes or no.,Yes,Yes,20.515625,19.5,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0011_size0.2.png,Is the cyan sphere closer to the camera than the black cube? Answer with yes or no.,Yes,Yes,21.203125,19.5625,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0011_size0.1.png,Is the cyan sphere closer to the camera than the black cube? Answer with yes or no.,Yes,Yes,21.15625,19.546875,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0012_size0.3.png,Is the green cube closer to the camera than the red cube? Answer with yes or no.,Yes,Yes,22.03125,20.453125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0012_size0.2.png,Is the green cube closer to the camera than the red cube? Answer with yes or no.,Yes,Yes,22.640625,20.28125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0012_size0.1.png,Is the green cube closer to the camera than the red cube? Answer with yes or no.,Yes,Yes,22.703125,20.15625,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0013_size0.3.png,Is the green cube closer to the camera than the blue sphere? Answer with yes or no.,Yes,Yes,22.78125,17.40625,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0013_size0.2.png,Is the green cube closer to the camera than the blue sphere? Answer with yes or no.,Yes,Yes,22.90625,17.59375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0013_size0.1.png,Is the green cube closer to the camera than the blue sphere? Answer with yes or no.,Yes,Yes,22.578125,17.9375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0014_size0.3.png,Is the black sphere closer to the camera than the cyan sphere? Answer with yes or no.,Yes,Yes,20.640625,18.984375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0014_size0.2.png,Is the black sphere closer to the camera than the cyan sphere? Answer with yes or no.,Yes,Yes,21.09375,18.75,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0014_size0.1.png,Is the black sphere closer to the camera than the cyan sphere? Answer with yes or no.,Yes,Yes,20.78125,18.953125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0015_size0.3.png,Is the cyan sphere closer to the camera than the magenta cube? Answer with yes or no.,Yes,Yes,22.484375,18.578125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0015_size0.2.png,Is the cyan sphere closer to the camera than the magenta cube? Answer with yes or no.,Yes,Yes,22.25,17.796875,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0015_size0.1.png,Is the cyan sphere closer to the camera than the magenta cube? Answer with yes or no.,Yes,Yes,22.265625,17.71875,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0016_size0.3.png,Is the red sphere closer to the camera than the magenta cube? Answer with yes or no.,Yes,Yes,22.25,18.5625,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0016_size0.2.png,Is the red sphere closer to the camera than the magenta cube? Answer with yes or no.,Yes,Yes,22.34375,17.859375,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0016_size0.1.png,Is the red sphere closer to the camera than the magenta cube? Answer with yes or no.,Yes,Yes,22.328125,18.421875,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0017_size0.3.png,Is the cyan cube closer to the camera than the yellow cube? Answer with yes or no.,Yes,Yes,21.953125,19.875,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0017_size0.2.png,Is the cyan cube closer to the camera than the yellow cube? Answer with yes or no.,Yes,Yes,22.078125,19.5625,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0017_size0.1.png,Is the cyan cube closer to the camera than the yellow cube? Answer with yes or no.,Yes,Yes,22.0625,19.265625,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0018_size0.3.png,Is the blue cube closer to the camera than the yellow cube? Answer with yes or no.,Yes,Yes,23.09375,17.390625,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0018_size0.2.png,Is the blue cube closer to the camera than the yellow cube? Answer with yes or no.,Yes,Yes,23.15625,17.328125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0018_size0.1.png,Is the blue cube closer to the camera than the yellow cube? Answer with yes or no.,Yes,Yes,23.1875,17.78125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0019_size0.3.png,Is the yellow sphere closer to the camera than the red cube? Answer with yes or no.,Yes,Yes,22.796875,17.5625,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0019_size0.2.png,Is the yellow sphere closer to the camera than the red cube? Answer with yes or no.,Yes,Yes,22.828125,17.5625,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0019_size0.1.png,Is the yellow sphere closer to the camera than the red cube? Answer with yes or no.,Yes,Yes,22.6875,17.953125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0020_size0.3.png,Is the blue cube closer to the camera than the blue sphere? Answer with yes or no.,Yes,Yes,23.015625,19.703125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0020_size0.2.png,Is the blue cube closer to the camera than the blue sphere? Answer with yes or no.,Yes,Yes,22.828125,19.28125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0020_size0.1.png,Is the blue cube closer to the camera than the blue sphere? Answer with yes or no.,Yes,Yes,22.46875,19.328125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0021_size0.3.png,Is the yellow cube closer to the camera than the cyan sphere? Answer with yes or no.,Yes,Yes,22.15625,18.90625,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0021_size0.2.png,Is the yellow cube closer to the camera than the cyan sphere? Answer with yes or no.,Yes,Yes,22.234375,18.78125,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0021_size0.1.png,Is the yellow cube closer to the camera than the cyan sphere? Answer with yes or no.,Yes,Yes,22.09375,19.0625,True
Zhoues/RoboRefer-2B-SFT,output/sizevar/close/0022_size0.3.png,Is the blue cube closer to the camera than the black cube? Answer with yes or no.,Yes,Yes,23.40625,18.0625,True
