model_path,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0000_size0.3.png,Is the red cube closer to the camera than the green cube? Answer with yes or no.,No,No,22.453125,24.375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0000_size0.2.png,Is the red cube closer to the camera than the green cube? Answer with yes or no.,No,No,22.34375,24.140625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0000_size0.1.png,Is the red cube closer to the camera than the green cube? Answer with yes or no.,No,No,22.296875,24.21875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0001_size0.3.png,Is the cyan cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,23.40625,23.859375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0001_size0.2.png,Is the cyan cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,23.390625,23.578125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0001_size0.1.png,Is the cyan cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,23.328125,23.0625,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0002_size0.3.png,Is the blue sphere closer to the camera than the magenta sphere? Answer with yes or no.,No,No,22.984375,23.640625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0002_size0.2.png,Is the blue sphere closer to the camera than the magenta sphere? Answer with yes or no.,No,No,23.078125,23.546875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0002_size0.1.png,Is the blue sphere closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,23.578125,23.140625,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0003_size0.3.png,Is the cyan cube closer to the camera than the black sphere? Answer with yes or no.,No,No,23.1875,24.390625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0003_size0.2.png,Is the cyan cube closer to the camera than the black sphere? Answer with yes or no.,No,No,23.125,23.890625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0003_size0.1.png,Is the cyan cube closer to the camera than the black sphere? Answer with yes or no.,No,No,23.03125,23.609375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0004_size0.3.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,22.65625,25.75,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0004_size0.2.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,22.546875,25.578125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0004_size0.1.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,22.5,25.21875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0005_size0.3.png,Is the green sphere closer to the camera than the cyan sphere? Answer with yes or no.,No,Yes,23.15625,23.078125,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0005_size0.2.png,Is the green sphere closer to the camera than the cyan sphere? Answer with yes or no.,No,Yes,23.1875,23.140625,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0005_size0.1.png,Is the green sphere closer to the camera than the cyan sphere? Answer with yes or no.,No,No,23.21875,23.640625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0006_size0.3.png,Is the green cube closer to the camera than the blue sphere? Answer with yes or no.,No,No,22.703125,25.125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0006_size0.2.png,Is the green cube closer to the camera than the blue sphere? Answer with yes or no.,No,No,22.640625,25.359375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0006_size0.1.png,Is the green cube closer to the camera than the blue sphere? Answer with yes or no.,No,No,22.6875,24.78125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0007_size0.3.png,Is the green cube closer to the camera than the cyan cube? Answer with yes or no.,No,No,22.703125,23.484375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0007_size0.2.png,Is the green cube closer to the camera than the cyan cube? Answer with yes or no.,No,No,22.75,23.046875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0007_size0.1.png,Is the green cube closer to the camera than the cyan cube? Answer with yes or no.,No,Yes,23.09375,23.0,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0008_size0.3.png,Is the green sphere closer to the camera than the black sphere? Answer with yes or no.,No,No,22.984375,24.015625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0008_size0.2.png,Is the green sphere closer to the camera than the black sphere? Answer with yes or no.,No,No,22.96875,24.015625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0008_size0.1.png,Is the green sphere closer to the camera than the black sphere? Answer with yes or no.,No,No,23.53125,24.109375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0009_size0.3.png,Is the magenta sphere closer to the camera than the yellow sphere? Answer with yes or no.,No,No,23.34375,23.390625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0009_size0.2.png,Is the magenta sphere closer to the camera than the yellow sphere? Answer with yes or no.,No,Yes,23.53125,23.359375,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0009_size0.1.png,Is the magenta sphere closer to the camera than the yellow sphere? Answer with yes or no.,No,Yes,23.484375,22.859375,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0010_size0.3.png,Is the yellow sphere closer to the camera than the magenta cube? Answer with yes or no.,No,No,23.15625,24.578125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0010_size0.2.png,Is the yellow sphere closer to the camera than the magenta cube? Answer with yes or no.,No,No,23.140625,24.3125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0010_size0.1.png,Is the yellow sphere closer to the camera than the magenta cube? Answer with yes or no.,No,No,23.171875,24.140625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0011_size0.3.png,Is the black sphere closer to the camera than the cyan cube? Answer with yes or no.,No,No,23.59375,24.984375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0011_size0.2.png,Is the black sphere closer to the camera than the cyan cube? Answer with yes or no.,No,No,23.609375,24.140625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0011_size0.1.png,Is the black sphere closer to the camera than the cyan cube? Answer with yes or no.,No,Yes,23.34375,22.953125,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0012_size0.3.png,Is the magenta cube closer to the camera than the yellow sphere? Answer with yes or no.,No,Yes,23.546875,23.53125,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0012_size0.2.png,Is the magenta cube closer to the camera than the yellow sphere? Answer with yes or no.,No,Yes,23.96875,22.953125,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0012_size0.1.png,Is the magenta cube closer to the camera than the yellow sphere? Answer with yes or no.,No,Yes,24.296875,22.703125,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0013_size0.3.png,Is the green sphere closer to the camera than the yellow cube? Answer with yes or no.,No,No,22.9375,25.515625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0013_size0.2.png,Is the green sphere closer to the camera than the yellow cube? Answer with yes or no.,No,No,22.875,25.65625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0013_size0.1.png,Is the green sphere closer to the camera than the yellow cube? Answer with yes or no.,No,No,22.828125,25.296875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0014_size0.3.png,Is the magenta cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,22.765625,24.3125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0014_size0.2.png,Is the magenta cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,22.609375,23.65625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0014_size0.1.png,Is the magenta cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,22.609375,23.234375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0015_size0.3.png,Is the cyan sphere closer to the camera than the magenta sphere? Answer with yes or no.,No,No,23.109375,23.625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0015_size0.2.png,Is the cyan sphere closer to the camera than the magenta sphere? Answer with yes or no.,No,No,23.015625,23.375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0015_size0.1.png,Is the cyan sphere closer to the camera than the magenta sphere? Answer with yes or no.,No,No,23.046875,23.25,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0016_size0.3.png,Is the red sphere closer to the camera than the yellow cube? Answer with yes or no.,No,No,22.953125,26.03125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0016_size0.2.png,Is the red sphere closer to the camera than the yellow cube? Answer with yes or no.,No,No,22.96875,25.421875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0016_size0.1.png,Is the red sphere closer to the camera than the yellow cube? Answer with yes or no.,No,No,23.03125,25.0,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0017_size0.3.png,Is the blue sphere closer to the camera than the cyan cube? Answer with yes or no.,No,No,22.796875,24.0625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0017_size0.2.png,Is the blue sphere closer to the camera than the cyan cube? Answer with yes or no.,No,No,22.546875,23.40625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0017_size0.1.png,Is the blue sphere closer to the camera than the cyan cube? Answer with yes or no.,No,No,22.75,23.21875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0018_size0.3.png,Is the green cube closer to the camera than the yellow sphere? Answer with yes or no.,No,No,23.484375,24.234375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0018_size0.2.png,Is the green cube closer to the camera than the yellow sphere? Answer with yes or no.,No,Yes,23.921875,23.390625,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0018_size0.1.png,Is the green cube closer to the camera than the yellow sphere? Answer with yes or no.,No,Yes,24.3125,22.71875,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0019_size0.3.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,23.28125,24.4375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0019_size0.2.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,23.40625,23.8125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0019_size0.1.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,23.46875,23.3125,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0020_size0.3.png,Is the cyan sphere closer to the camera than the black cube? Answer with yes or no.,No,No,22.84375,25.546875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0020_size0.2.png,Is the cyan sphere closer to the camera than the black cube? Answer with yes or no.,No,No,22.6875,25.46875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0020_size0.1.png,Is the cyan sphere closer to the camera than the black cube? Answer with yes or no.,No,No,22.640625,25.015625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0021_size0.3.png,Is the black cube closer to the camera than the yellow sphere? Answer with yes or no.,No,No,22.984375,25.515625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0021_size0.2.png,Is the black cube closer to the camera than the yellow sphere? Answer with yes or no.,No,No,22.921875,25.21875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0021_size0.1.png,Is the black cube closer to the camera than the yellow sphere? Answer with yes or no.,No,No,23.0,24.515625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0022_size0.3.png,Is the cyan cube closer to the camera than the red sphere? Answer with yes or no.,No,No,22.890625,23.765625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0022_size0.2.png,Is the cyan cube closer to the camera than the red sphere? Answer with yes or no.,No,No,23.0,23.5,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0022_size0.1.png,Is the cyan cube closer to the camera than the red sphere? Answer with yes or no.,No,No,23.109375,23.15625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0023_size0.3.png,Is the green sphere closer to the camera than the yellow sphere? Answer with yes or no.,No,No,23.15625,23.375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0023_size0.2.png,Is the green sphere closer to the camera than the yellow sphere? Answer with yes or no.,No,Yes,23.421875,23.1875,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0023_size0.1.png,Is the green sphere closer to the camera than the yellow sphere? Answer with yes or no.,No,Yes,23.796875,22.96875,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0024_size0.3.png,Is the black cube closer to the camera than the blue sphere? Answer with yes or no.,No,No,22.734375,24.78125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0024_size0.2.png,Is the black cube closer to the camera than the blue sphere? Answer with yes or no.,No,No,22.640625,24.078125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0024_size0.1.png,Is the black cube closer to the camera than the blue sphere? Answer with yes or no.,No,No,23.0,23.75,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0025_size0.3.png,Is the cyan sphere closer to the camera than the magenta sphere? Answer with yes or no.,No,No,22.59375,23.796875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0025_size0.2.png,Is the cyan sphere closer to the camera than the magenta sphere? Answer with yes or no.,No,No,22.734375,23.671875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0025_size0.1.png,Is the cyan sphere closer to the camera than the magenta sphere? Answer with yes or no.,No,No,23.03125,23.703125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0026_size0.3.png,Is the yellow sphere closer to the camera than the magenta cube? Answer with yes or no.,No,No,23.15625,26.25,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0026_size0.2.png,Is the yellow sphere closer to the camera than the magenta cube? Answer with yes or no.,No,No,23.0625,25.703125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0026_size0.1.png,Is the yellow sphere closer to the camera than the magenta cube? Answer with yes or no.,No,No,22.953125,25.34375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0027_size0.3.png,Is the cyan sphere closer to the camera than the yellow sphere? Answer with yes or no.,No,No,22.796875,24.234375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0027_size0.2.png,Is the cyan sphere closer to the camera than the yellow sphere? Answer with yes or no.,No,No,22.734375,23.25,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0027_size0.1.png,Is the cyan sphere closer to the camera than the yellow sphere? Answer with yes or no.,No,Yes,23.421875,23.046875,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0028_size0.3.png,Is the cyan sphere closer to the camera than the cyan cube? Answer with yes or no.,No,No,23.75,23.96875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0028_size0.2.png,Is the cyan sphere closer to the camera than the cyan cube? Answer with yes or no.,No,Yes,23.640625,23.390625,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0028_size0.1.png,Is the cyan sphere closer to the camera than the cyan cube? Answer with yes or no.,No,Yes,23.75,23.421875,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0029_size0.3.png,Is the blue sphere closer to the camera than the yellow sphere? Answer with yes or no.,No,No,22.46875,23.78125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0029_size0.2.png,Is the blue sphere closer to the camera than the yellow sphere? Answer with yes or no.,No,No,22.421875,23.375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0029_size0.1.png,Is the blue sphere closer to the camera than the yellow sphere? Answer with yes or no.,No,No,22.5,23.265625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0030_size0.3.png,Is the red sphere closer to the camera than the yellow cube? Answer with yes or no.,No,No,23.28125,26.09375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0030_size0.2.png,Is the red sphere closer to the camera than the yellow cube? Answer with yes or no.,No,No,23.546875,25.9375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0030_size0.1.png,Is the red sphere closer to the camera than the yellow cube? Answer with yes or no.,No,No,23.375,25.46875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0031_size0.3.png,Is the yellow cube closer to the camera than the cyan cube? Answer with yes or no.,No,Yes,22.890625,22.765625,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0031_size0.2.png,Is the yellow cube closer to the camera than the cyan cube? Answer with yes or no.,No,Yes,23.046875,22.65625,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0031_size0.1.png,Is the yellow cube closer to the camera than the cyan cube? Answer with yes or no.,No,Yes,23.578125,22.90625,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0032_size0.3.png,Is the yellow sphere closer to the camera than the black cube? Answer with yes or no.,No,No,23.34375,24.21875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0032_size0.2.png,Is the yellow sphere closer to the camera than the black cube? Answer with yes or no.,No,No,23.53125,23.859375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0032_size0.1.png,Is the yellow sphere closer to the camera than the black cube? Answer with yes or no.,No,Yes,23.546875,23.3125,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0033_size0.3.png,Is the yellow cube closer to the camera than the cyan cube? Answer with yes or no.,No,No,22.609375,23.03125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0033_size0.2.png,Is the yellow cube closer to the camera than the cyan cube? Answer with yes or no.,No,No,22.671875,23.34375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0033_size0.1.png,Is the yellow cube closer to the camera than the cyan cube? Answer with yes or no.,No,No,22.59375,23.234375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/far/0034_size0.3.png,Is the magenta sphere closer to the camera than the green cube? Answer with yes or no.,No,No,23.03125,25.265625,True
