model_path,text,image,Yes_logit,No_logit
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0000.png,19.09375,20.40625
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0001.png,19.828125,20.734375
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0002.png,20.03125,20.296875
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0003.png,19.6875,20.453125
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0004.png,18.890625,20.3125
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0005.png,18.9375,19.890625
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0006.png,19.5,20.046875
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0007.png,19.46875,20.21875
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0008.png,19.328125,20.09375
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0009.png,19.125,19.84375
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0010.png,19.078125,19.71875
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0011.png,18.53125,19.71875
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0012.png,18.515625,19.765625
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0013.png,18.34375,19.734375
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0014.png,18.953125,19.703125
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0015.png,18.90625,19.90625
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0016.png,18.9375,20.21875
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0017.png,19.65625,20.71875
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0018.png,19.96875,20.328125
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0019.png,19.609375,20.484375
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0020.png,18.84375,20.234375
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0021.png,18.828125,19.796875
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0022.png,19.453125,19.96875
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0023.png,19.59375,20.1875
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0024.png,19.328125,20.03125
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0025.png,19.09375,19.828125
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0026.png,19.0625,19.71875
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0027.png,18.546875,19.75
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0028.png,18.5,19.828125
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0029.png,18.5,19.8125
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0030.png,19.171875,19.671875
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0031.png,18.890625,19.828125
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0032.png,19.046875,20.078125
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0033.png,18.96875,20.296875
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0034.png,19.65625,20.546875
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0035.png,19.703125,20.671875
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0036.png,18.96875,20.421875
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0037.png,18.828125,20.046875
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0038.png,19.140625,20.09375
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0039.png,19.171875,19.9375
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0040.png,19.125,19.84375
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0041.png,19.0,19.703125
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0042.png,19.03125,19.59375
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0043.png,18.453125,19.671875
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0044.png,18.328125,19.75
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0045.png,18.484375,19.84375
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0046.png,19.265625,19.703125
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0047.png,19.015625,19.6875
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0048.png,19.40625,20.125
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0049.png,19.34375,20.328125
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0050.png,19.46875,20.5625
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0051.png,19.40625,20.84375
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0052.png,18.78125,20.625
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0053.png,18.765625,20.203125
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0054.png,19.078125,20.203125
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0055.png,18.921875,19.953125
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0056.png,19.140625,19.875
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0057.png,19.15625,19.78125
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0058.png,19.28125,19.734375
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0059.png,18.703125,19.984375
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0060.png,18.796875,20.015625
Zhoues/RoboRefer-2B-SFT,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,0061.png,18.53125,20.09375
