metric	value
mean_p_correct	0.7931331227742823
min_p_correct	0.6908642713055574
max_p_correct	0.9037215734037914
rmse_avg	0.18131098234603146
obj1_top	0.7701274104895685
obj1_bottom	0.8085258549067733
obj1_delta_bottom_vs_top	0.03839844441720486
obj2_top	0.7639622944167503
obj2_bottom	0.8347979134813063
obj2_delta_bottom_vs_top	0.07083561906455593
obj1_right	0.8042979422421235
obj1_left	0.7930749912096162
obj1_delta_left_vs_right	-0.011222951032507256
obj2_right	0.7807762577344576
obj2_left	0.7903286160239454
obj2_delta_left_vs_right	0.009552358289487861
o1top_o2bot	0.788792572625981
o1bot_o2top	0.7588306651674877
delta_o1top_o2bot_vs_o1bot_o2top	0.029961907458493364
