model_path,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0000_s10.100_s20.300.png,Is the green cube closer to the camera than the cyan sphere? Answer with yes or no.,No,Yes,23.484375,22.8125,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0000_s10.120_s20.280.png,Is the green cube closer to the camera than the cyan sphere? Answer with yes or no.,No,Yes,23.8125,23.125,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0000_s10.140_s20.260.png,Is the green cube closer to the camera than the cyan sphere? Answer with yes or no.,No,Yes,23.734375,23.078125,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0000_s10.160_s20.240.png,Is the green cube closer to the camera than the cyan sphere? Answer with yes or no.,No,Yes,24.046875,23.21875,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0000_s10.180_s20.220.png,Is the green cube closer to the camera than the cyan sphere? Answer with yes or no.,No,Yes,24.03125,23.234375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0000_s10.200_s20.200.png,Is the green cube closer to the camera than the cyan sphere? Answer with yes or no.,No,Yes,24.171875,23.34375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0000_s10.220_s20.180.png,Is the green cube closer to the camera than the cyan sphere? Answer with yes or no.,No,Yes,24.140625,23.296875,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0000_s10.240_s20.160.png,Is the green cube closer to the camera than the cyan sphere? Answer with yes or no.,No,Yes,24.296875,23.390625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0000_s10.260_s20.140.png,Is the green cube closer to the camera than the cyan sphere? Answer with yes or no.,No,Yes,24.140625,23.15625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0000_s10.280_s20.120.png,Is the green cube closer to the camera than the cyan sphere? Answer with yes or no.,No,Yes,24.1875,23.203125,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0000_s10.300_s20.100.png,Is the green cube closer to the camera than the cyan sphere? Answer with yes or no.,No,Yes,24.078125,23.09375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0001_s10.100_s20.300.png,Is the yellow sphere closer to the camera than the red sphere? Answer with yes or no.,No,Yes,24.375,23.53125,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0001_s10.120_s20.280.png,Is the yellow sphere closer to the camera than the red sphere? Answer with yes or no.,No,Yes,24.484375,23.625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0001_s10.140_s20.260.png,Is the yellow sphere closer to the camera than the red sphere? Answer with yes or no.,No,Yes,24.625,23.609375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0001_s10.160_s20.240.png,Is the yellow sphere closer to the camera than the red sphere? Answer with yes or no.,No,Yes,24.5625,23.5,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0001_s10.180_s20.220.png,Is the yellow sphere closer to the camera than the red sphere? Answer with yes or no.,No,Yes,24.640625,23.515625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0001_s10.200_s20.200.png,Is the yellow sphere closer to the camera than the red sphere? Answer with yes or no.,No,Yes,24.6875,23.59375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0001_s10.220_s20.180.png,Is the yellow sphere closer to the camera than the red sphere? Answer with yes or no.,No,Yes,24.59375,23.53125,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0001_s10.240_s20.160.png,Is the yellow sphere closer to the camera than the red sphere? Answer with yes or no.,No,Yes,24.578125,23.484375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0001_s10.260_s20.140.png,Is the yellow sphere closer to the camera than the red sphere? Answer with yes or no.,No,Yes,24.5625,23.515625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0001_s10.280_s20.120.png,Is the yellow sphere closer to the camera than the red sphere? Answer with yes or no.,No,Yes,24.65625,23.578125,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0001_s10.300_s20.100.png,Is the yellow sphere closer to the camera than the red sphere? Answer with yes or no.,No,Yes,24.625,23.625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0002_s10.100_s20.300.png,Is the yellow cube closer to the camera than the green cube? Answer with yes or no.,No,No,23.90625,24.015625,True
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0002_s10.120_s20.280.png,Is the yellow cube closer to the camera than the green cube? Answer with yes or no.,No,No,23.921875,23.921875,True
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0002_s10.140_s20.260.png,Is the yellow cube closer to the camera than the green cube? Answer with yes or no.,No,No,23.9375,23.953125,True
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0002_s10.160_s20.240.png,Is the yellow cube closer to the camera than the green cube? Answer with yes or no.,No,Yes,24.171875,24.015625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0002_s10.180_s20.220.png,Is the yellow cube closer to the camera than the green cube? Answer with yes or no.,No,Yes,24.0,23.8125,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0002_s10.200_s20.200.png,Is the yellow cube closer to the camera than the green cube? Answer with yes or no.,No,Yes,24.046875,23.8125,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0002_s10.220_s20.180.png,Is the yellow cube closer to the camera than the green cube? Answer with yes or no.,No,Yes,24.0,23.765625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0002_s10.240_s20.160.png,Is the yellow cube closer to the camera than the green cube? Answer with yes or no.,No,Yes,23.984375,23.625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0002_s10.260_s20.140.png,Is the yellow cube closer to the camera than the green cube? Answer with yes or no.,No,Yes,24.015625,23.625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0002_s10.280_s20.120.png,Is the yellow cube closer to the camera than the green cube? Answer with yes or no.,No,Yes,24.015625,23.46875,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0002_s10.300_s20.100.png,Is the yellow cube closer to the camera than the green cube? Answer with yes or no.,No,Yes,24.03125,23.609375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0003_s10.100_s20.300.png,Is the magenta sphere closer to the camera than the green cube? Answer with yes or no.,No,Yes,23.765625,23.484375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0003_s10.120_s20.280.png,Is the magenta sphere closer to the camera than the green cube? Answer with yes or no.,No,Yes,23.71875,23.609375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0003_s10.140_s20.260.png,Is the magenta sphere closer to the camera than the green cube? Answer with yes or no.,No,Yes,23.84375,23.6875,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0003_s10.160_s20.240.png,Is the magenta sphere closer to the camera than the green cube? Answer with yes or no.,No,Yes,23.703125,23.625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0003_s10.180_s20.220.png,Is the magenta sphere closer to the camera than the green cube? Answer with yes or no.,No,Yes,23.78125,23.59375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0003_s10.200_s20.200.png,Is the magenta sphere closer to the camera than the green cube? Answer with yes or no.,No,Yes,23.671875,23.515625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0003_s10.220_s20.180.png,Is the magenta sphere closer to the camera than the green cube? Answer with yes or no.,No,Yes,23.59375,23.40625,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0003_s10.240_s20.160.png,Is the magenta sphere closer to the camera than the green cube? Answer with yes or no.,No,Yes,23.796875,23.59375,False
Efficient-Large-Model/NVILA-Lite-2B,output/sizevar/both/0003_s10.260_s20.140.png,Is the magenta sphere closer to the camera than the green cube? Answer with yes or no.,No,Yes,23.734375,23.578125,False
