model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA00_phB00.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.4375,20.390625,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA00_phB01.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.015625,20.484375,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA00_phB02.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,21.609375,20.265625,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA00_phB03.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,21.765625,20.3125,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA00_phB04.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,21.96875,20.09375,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA00_phB05.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,21.984375,20.015625,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA00_phB06.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.171875,20.0625,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA00_phB07.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.515625,20.1875,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA00_phB08.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.609375,20.265625,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA00_phB09.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.34375,20.28125,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA00_phB10.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.5,19.984375,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA00_phB11.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.1875,20.015625,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA00_phB12.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.078125,19.890625,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA00_phB13.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,21.96875,20.046875,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA00_phB14.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.390625,20.09375,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA00_phB15.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.484375,20.203125,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA01_phB00.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.484375,20.234375,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA01_phB01.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.34375,20.46875,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA01_phB02.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,21.890625,20.296875,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA01_phB03.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.015625,20.3125,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA01_phB04.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.1875,20.0,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA01_phB05.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.203125,19.984375,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA01_phB06.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.359375,20.046875,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA01_phB07.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.671875,20.09375,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA01_phB08.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.6875,20.1875,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA01_phB09.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.375,20.328125,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA01_phB10.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.546875,20.015625,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA01_phB11.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.28125,19.953125,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA01_phB12.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.203125,19.8125,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA01_phB13.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.109375,20.046875,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA01_phB14.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.4375,20.046875,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA01_phB15.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.453125,20.140625,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA02_phB00.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.453125,20.1875,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA02_phB01.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.625,20.390625,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA02_phB02.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.171875,20.34375,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA02_phB03.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.234375,20.265625,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA02_phB04.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.234375,20.03125,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA02_phB05.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.234375,20.125,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA02_phB06.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.421875,20.171875,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA02_phB07.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.671875,20.15625,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA02_phB08.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.65625,20.265625,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA02_phB09.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.390625,20.34375,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA02_phB10.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.5625,20.03125,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA02_phB11.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.40625,19.96875,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA02_phB12.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.328125,19.796875,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA02_phB13.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.296875,20.0625,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA02_phB14.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.421875,20.046875,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA02_phB15.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.421875,20.28125,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA03_phB00.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.203125,20.03125,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA03_phB01.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.375,20.09375,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA03_phB02.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.109375,20.125,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA03_phB03.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.0,20.15625,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA03_phB04.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.25,19.984375,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA03_phB05.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.1875,20.0,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA03_phB06.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.203125,19.828125,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA03_phB07.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.5625,19.875,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA03_phB08.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.546875,19.96875,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA03_phB09.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.296875,20.078125,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA03_phB10.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.515625,19.796875,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA03_phB11.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.1875,20.03125,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA03_phB12.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.1875,19.84375,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA03_phB13.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.203125,19.90625,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA03_phB14.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.359375,20.0,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA03_phB15.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.25,20.0625,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA04_phB00.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.265625,20.15625,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA04_phB01.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.34375,20.1875,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA04_phB02.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.171875,20.09375,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA04_phB03.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.1875,20.234375,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA04_phB04.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.15625,20.296875,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA04_phB05.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.171875,20.265625,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA04_phB06.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.265625,19.875,True
Zhoues/RoboRefer-2B-SFT,obj1_farther,output/phasevar_5/0000_phA04_phB07.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,22.609375,20.140625,True
