metric	value
mean_p_correct	0.6464060710190065
min_p_correct	0.46169853968469554
max_p_correct	0.8407645575545862
rmse_avg	0.13764227885411381
obj1_top	0.6514157778952492
obj1_bottom	0.6516012614699018
obj1_delta_bottom_vs_top	0.0001854835746526451
obj2_top	0.5728642941266499
obj2_bottom	0.7679239399501417
obj2_delta_bottom_vs_top	0.1950596458234919
obj1_right	0.6472522127683067
obj1_left	0.6399810530304959
obj1_delta_left_vs_right	-0.007271159737810784
obj2_right	0.6536373780043976
obj2_left	0.6204745465385793
obj2_delta_left_vs_right	-0.03316283146581833
o1top_o2bot	0.7562196963417133
o1bot_o2top	0.5851641892886579
delta_o1top_o2bot_vs_o1bot_o2top	0.1710555070530554
