model,dataset_idx,task,source,answer,media,prompt,response,layer_idx,image_ratio,prompt_ratio,gen_ratio
Efficient-Large-Model/NVILA-Lite-2B,0,Count,ADE20K,(C),/tmp/tmpsfucuqwt.png,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",(C),0,0.037628173828125,0.6171875,0.34521484375
Efficient-Large-Model/NVILA-Lite-2B,0,Count,ADE20K,(C),/tmp/tmpsfucuqwt.png,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",(C),1,0.07330322265625,0.8330078125,0.09393310546875
Efficient-Large-Model/NVILA-Lite-2B,0,Count,ADE20K,(C),/tmp/tmpsfucuqwt.png,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",(C),2,0.453369140625,0.501953125,0.044403076171875
Efficient-Large-Model/NVILA-Lite-2B,0,Count,ADE20K,(C),/tmp/tmpsfucuqwt.png,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",(C),3,0.50634765625,0.44873046875,0.0450439453125
Efficient-Large-Model/NVILA-Lite-2B,0,Count,ADE20K,(C),/tmp/tmpsfucuqwt.png,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",(C),4,0.35107421875,0.56201171875,0.0872802734375
Efficient-Large-Model/NVILA-Lite-2B,0,Count,ADE20K,(C),/tmp/tmpsfucuqwt.png,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",(C),5,0.454345703125,0.490478515625,0.055206298828125
Efficient-Large-Model/NVILA-Lite-2B,0,Count,ADE20K,(C),/tmp/tmpsfucuqwt.png,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",(C),6,0.5263671875,0.419677734375,0.0537109375
Efficient-Large-Model/NVILA-Lite-2B,0,Count,ADE20K,(C),/tmp/tmpsfucuqwt.png,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",(C),7,0.53955078125,0.423583984375,0.037139892578125
Efficient-Large-Model/NVILA-Lite-2B,0,Count,ADE20K,(C),/tmp/tmpsfucuqwt.png,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",(C),8,0.494384765625,0.329833984375,0.17578125
Efficient-Large-Model/NVILA-Lite-2B,0,Count,ADE20K,(C),/tmp/tmpsfucuqwt.png,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",(C),9,0.48779296875,0.430908203125,0.08148193359375
Efficient-Large-Model/NVILA-Lite-2B,0,Count,ADE20K,(C),/tmp/tmpsfucuqwt.png,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",(C),10,0.2568359375,0.669921875,0.07318115234375
Efficient-Large-Model/NVILA-Lite-2B,0,Count,ADE20K,(C),/tmp/tmpsfucuqwt.png,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",(C),11,0.389404296875,0.517578125,0.0927734375
Efficient-Large-Model/NVILA-Lite-2B,0,Count,ADE20K,(C),/tmp/tmpsfucuqwt.png,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",(C),12,0.350830078125,0.513671875,0.13525390625
Efficient-Large-Model/NVILA-Lite-2B,0,Count,ADE20K,(C),/tmp/tmpsfucuqwt.png,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",(C),13,0.288818359375,0.60302734375,0.1080322265625
Efficient-Large-Model/NVILA-Lite-2B,0,Count,ADE20K,(C),/tmp/tmpsfucuqwt.png,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",(C),14,0.337890625,0.64208984375,0.0200347900390625
Efficient-Large-Model/NVILA-Lite-2B,0,Count,ADE20K,(C),/tmp/tmpsfucuqwt.png,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",(C),15,0.45751953125,0.4423828125,0.10028076171875
Efficient-Large-Model/NVILA-Lite-2B,0,Count,ADE20K,(C),/tmp/tmpsfucuqwt.png,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",(C),16,0.2022705078125,0.658203125,0.1396484375
Efficient-Large-Model/NVILA-Lite-2B,0,Count,ADE20K,(C),/tmp/tmpsfucuqwt.png,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",(C),17,0.396240234375,0.5654296875,0.03826904296875
Efficient-Large-Model/NVILA-Lite-2B,0,Count,ADE20K,(C),/tmp/tmpsfucuqwt.png,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",(C),18,0.27587890625,0.61669921875,0.10711669921875
Efficient-Large-Model/NVILA-Lite-2B,0,Count,ADE20K,(C),/tmp/tmpsfucuqwt.png,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",(C),19,0.50537109375,0.45654296875,0.038177490234375
Efficient-Large-Model/NVILA-Lite-2B,0,Count,ADE20K,(C),/tmp/tmpsfucuqwt.png,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",(C),20,0.3935546875,0.5390625,0.06732177734375
Efficient-Large-Model/NVILA-Lite-2B,0,Count,ADE20K,(C),/tmp/tmpsfucuqwt.png,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",(C),21,0.45166015625,0.475830078125,0.0723876953125
Efficient-Large-Model/NVILA-Lite-2B,0,Count,ADE20K,(C),/tmp/tmpsfucuqwt.png,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",(C),22,0.451904296875,0.5341796875,0.01393890380859375
Efficient-Large-Model/NVILA-Lite-2B,0,Count,ADE20K,(C),/tmp/tmpsfucuqwt.png,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",(C),23,0.45703125,0.338623046875,0.204345703125
Efficient-Large-Model/NVILA-Lite-2B,0,Count,ADE20K,(C),/tmp/tmpsfucuqwt.png,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",(C),24,0.552734375,0.342529296875,0.10479736328125
Efficient-Large-Model/NVILA-Lite-2B,0,Count,ADE20K,(C),/tmp/tmpsfucuqwt.png,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",(C),25,0.6142578125,0.353515625,0.032135009765625
Efficient-Large-Model/NVILA-Lite-2B,0,Count,ADE20K,(C),/tmp/tmpsfucuqwt.png,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",(C),26,0.61865234375,0.352294921875,0.0287628173828125
Efficient-Large-Model/NVILA-Lite-2B,0,Count,ADE20K,(C),/tmp/tmpsfucuqwt.png,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",(C),27,0.52587890625,0.402587890625,0.07177734375
Efficient-Large-Model/NVILA-Lite-2B,1,Count,ADE20K,(E),/tmp/tmpbr3q4g5i.png,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(A),0,nan,nan,nan
Efficient-Large-Model/NVILA-Lite-2B,1,Count,ADE20K,(E),/tmp/tmpbr3q4g5i.png,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(A),1,0.1358642578125,0.7685546875,0.0955810546875
Efficient-Large-Model/NVILA-Lite-2B,1,Count,ADE20K,(E),/tmp/tmpbr3q4g5i.png,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(A),2,0.51171875,0.43505859375,0.0531005859375
Efficient-Large-Model/NVILA-Lite-2B,1,Count,ADE20K,(E),/tmp/tmpbr3q4g5i.png,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(A),3,0.53857421875,0.417236328125,0.04443359375
Efficient-Large-Model/NVILA-Lite-2B,1,Count,ADE20K,(E),/tmp/tmpbr3q4g5i.png,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(A),4,0.498291015625,0.412353515625,0.08941650390625
Efficient-Large-Model/NVILA-Lite-2B,1,Count,ADE20K,(E),/tmp/tmpbr3q4g5i.png,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(A),5,0.49658203125,0.4375,0.06591796875
Efficient-Large-Model/NVILA-Lite-2B,1,Count,ADE20K,(E),/tmp/tmpbr3q4g5i.png,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(A),6,0.55322265625,0.390625,0.055999755859375
Efficient-Large-Model/NVILA-Lite-2B,1,Count,ADE20K,(E),/tmp/tmpbr3q4g5i.png,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(A),7,0.57421875,0.3916015625,0.03387451171875
Efficient-Large-Model/NVILA-Lite-2B,1,Count,ADE20K,(E),/tmp/tmpbr3q4g5i.png,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(A),8,0.4970703125,0.306396484375,0.196533203125
Efficient-Large-Model/NVILA-Lite-2B,1,Count,ADE20K,(E),/tmp/tmpbr3q4g5i.png,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(A),9,0.52490234375,0.387451171875,0.08782958984375
Efficient-Large-Model/NVILA-Lite-2B,1,Count,ADE20K,(E),/tmp/tmpbr3q4g5i.png,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(A),10,0.2216796875,0.701171875,0.0772705078125
Efficient-Large-Model/NVILA-Lite-2B,1,Count,ADE20K,(E),/tmp/tmpbr3q4g5i.png,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(A),11,0.406982421875,0.537109375,0.055999755859375
Efficient-Large-Model/NVILA-Lite-2B,1,Count,ADE20K,(E),/tmp/tmpbr3q4g5i.png,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(A),12,0.3974609375,0.50634765625,0.09588623046875
Efficient-Large-Model/NVILA-Lite-2B,1,Count,ADE20K,(E),/tmp/tmpbr3q4g5i.png,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(A),13,0.288818359375,0.64013671875,0.07122802734375
Efficient-Large-Model/NVILA-Lite-2B,1,Count,ADE20K,(E),/tmp/tmpbr3q4g5i.png,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(A),14,0.340576171875,0.6416015625,0.0180206298828125
Efficient-Large-Model/NVILA-Lite-2B,1,Count,ADE20K,(E),/tmp/tmpbr3q4g5i.png,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(A),15,0.39892578125,0.50048828125,0.1004638671875
Efficient-Large-Model/NVILA-Lite-2B,1,Count,ADE20K,(E),/tmp/tmpbr3q4g5i.png,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(A),16,0.1473388671875,0.69189453125,0.1607666015625
Efficient-Large-Model/NVILA-Lite-2B,1,Count,ADE20K,(E),/tmp/tmpbr3q4g5i.png,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(A),17,0.410888671875,0.5634765625,0.0255584716796875
Efficient-Large-Model/NVILA-Lite-2B,1,Count,ADE20K,(E),/tmp/tmpbr3q4g5i.png,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(A),18,0.3525390625,0.53271484375,0.114501953125
Efficient-Large-Model/NVILA-Lite-2B,1,Count,ADE20K,(E),/tmp/tmpbr3q4g5i.png,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(A),19,0.55810546875,0.41650390625,0.0254058837890625
Efficient-Large-Model/NVILA-Lite-2B,1,Count,ADE20K,(E),/tmp/tmpbr3q4g5i.png,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(A),20,0.435546875,0.51123046875,0.053253173828125
Efficient-Large-Model/NVILA-Lite-2B,1,Count,ADE20K,(E),/tmp/tmpbr3q4g5i.png,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(A),21,0.45751953125,0.462158203125,0.080322265625
Efficient-Large-Model/NVILA-Lite-2B,1,Count,ADE20K,(E),/tmp/tmpbr3q4g5i.png,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(A),22,0.3759765625,0.611328125,0.01265716552734375
Efficient-Large-Model/NVILA-Lite-2B,1,Count,ADE20K,(E),/tmp/tmpbr3q4g5i.png,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(A),23,0.3642578125,0.4111328125,0.2247314453125
Efficient-Large-Model/NVILA-Lite-2B,1,Count,ADE20K,(E),/tmp/tmpbr3q4g5i.png,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(A),24,0.467529296875,0.3603515625,0.1722412109375
Efficient-Large-Model/NVILA-Lite-2B,1,Count,ADE20K,(E),/tmp/tmpbr3q4g5i.png,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(A),25,0.62353515625,0.310546875,0.06622314453125
Efficient-Large-Model/NVILA-Lite-2B,1,Count,ADE20K,(E),/tmp/tmpbr3q4g5i.png,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(A),26,0.650390625,0.324951171875,0.024261474609375
Efficient-Large-Model/NVILA-Lite-2B,1,Count,ADE20K,(E),/tmp/tmpbr3q4g5i.png,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(A),27,0.468994140625,0.457275390625,0.07379150390625
Efficient-Large-Model/NVILA-Lite-2B,2,Count,ADE20K,(C),/tmp/tmpsx0zhrrg.png,"How many table lamps are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 1
(D) 3",(C),0,0.0968017578125,0.55712890625,0.34619140625
Efficient-Large-Model/NVILA-Lite-2B,2,Count,ADE20K,(C),/tmp/tmpsx0zhrrg.png,"How many table lamps are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 1
(D) 3",(C),1,0.1326904296875,0.77587890625,0.0914306640625
Efficient-Large-Model/NVILA-Lite-2B,2,Count,ADE20K,(C),/tmp/tmpsx0zhrrg.png,"How many table lamps are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 1
(D) 3",(C),2,0.45361328125,0.5009765625,0.045135498046875
Efficient-Large-Model/NVILA-Lite-2B,2,Count,ADE20K,(C),/tmp/tmpsx0zhrrg.png,"How many table lamps are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 1
(D) 3",(C),3,0.5244140625,0.43310546875,0.042694091796875
