metric	value
mean_accuracy	0.4680989583333333
min_accuracy	0.2708333333333333
max_accuracy	0.6041666666666666
obj1_top	0.5002604166666667
obj1_bottom	0.4265625
obj1_delta_bottom_vs_top	-0.07369791666666664
obj2_top	0.4080729166666666
obj2_bottom	0.50859375
obj2_delta_bottom_vs_top	0.10052083333333334
obj1_right	0.48463541666666676
obj1_left	0.4528645833333333
obj1_delta_left_vs_right	-0.03177083333333347
obj2_right	0.4559895833333334
obj2_left	0.5010416666666666
obj2_delta_left_vs_right	0.045052083333333215
o1top_o2bot	0.535
o1bot_o2top	0.3591666666666667
delta_o1top_o2bot_vs_o1bot_o2top	0.17583333333333334
